"id","firstName","secondName","lastName","firstLastName","club","districtNum","districtName","voivodeship","email","active"
1,"Andrzej","Mieczysław","Adamczyk","Andrzej Adamczyk","PiS",13,"Kraków","małopolskie","Andrzej.Adamczyk@sejm.pl",true
2,"Piotr",,"Adamowicz","Piotr Adamowicz","KO",25,"Gdańsk","pomorskie","Piotr.Adamowicz@sejm.pl",true
3,"Adam",,"Andruszkiewicz","Adam Andruszkiewicz","PiS",24,"Białystok","podlaskie","Adam.Andruszkiewicz@sejm.pl",false
4,"Waldemar","Franciszek","Andzel","Waldemar Andzel","PiS",32,"Katowice","śląskie","Waldemar.Andzel@sejm.pl",true
5,"Dorota","Irvina","Arciszewska-Mielewczyk","Dorota Arciszewska-Mielewczyk","PiS",26,"Słupsk","pomorskie","Dorota.Arciszewska-Mielewczyk@sejm.pl",true
6,"Jan","Krzysztof","Ardanowski","Jan Krzysztof Ardanowski","Republikanie",5,"Toruń","kujawsko-pomorskie","Jan.Ardanowski@sejm.pl",true
7,"Iwona","Ewa","Arent","Iwona Ewa Arent","PiS",35,"Olsztyn","warmińsko-mazurskie","Iwona.Arent@sejm.pl",true
8,"Bartosz","Adam","Arłukowicz","Bartosz Arłukowicz","KO",40,"Koszalin","zachodniopomorskie","Bartosz.Arlukowicz@sejm.pl",false
9,"Marek",,"Ast","Marek Ast","PiS",8,"Zielona Góra","lubuskie","Marek.Ast@sejm.pl",true
10,"Urszula",,"Augustyn","Urszula Augustyn","KO",15,"Tarnów","małopolskie","Urszula.Augustyn@sejm.pl",true
11,"Piotr","Mieczysław","Babinetz","Piotr Babinetz","PiS",22,"Krosno","podkarpackie","Piotr.Babinetz@sejm.pl",true
12,"Ryszard",,"Bartosik","Ryszard Bartosik","PiS",37,"Konin","wielkopolskie","Ryszard.Bartosik@sejm.pl",true
13,"Władysław","Teofil","Bartoszewski","Władysław Bartoszewski","PSL-TD",19,"Warszawa","mazowieckie","Wladyslaw.Bartoszewski@sejm.pl",true
14,"Barbara","Halina","Bartuś","Barbara Bartuś","PiS",14,"Nowy Sącz","małopolskie","Barbara.Bartus@sejm.pl",true
15,"Paweł","Jan","Bejda","Paweł Bejda","PSL-TD",11,"Sieradz","łódzkie","Pawel.Bejda@sejm.pl",true
16,"Konrad","Szczepan","Berkowicz","Konrad Berkowicz","Konfederacja",13,"Kraków","małopolskie","Konrad.Berkowicz@sejm.pl",true
17,"Sylwia","Alina","Bielawska","Sylwia Bielawska","KO",2,"Wałbrzych","dolnośląskie","Sylwia.Bielawska@sejm.pl",true
18,"Marek",,"Biernacki","Marek Biernacki","PSL-TD",26,"Słupsk","pomorskie","Marek.Biernacki@sejm.pl",true
19,"Paweł","Kazimierz","Bliźniuk","Paweł Bliźniuk","KO",9,"Łódź","łódzkie","Pawel.Blizniuk@sejm.pl",true
20,"Mariusz",,"Błaszczak","Mariusz Błaszczak","PiS",20,"Warszawa","mazowieckie","Mariusz.Blaszczak@sejm.pl",true
21,"Mateusz",,"Bochenek","Mateusz Bochenek","KO",32,"Katowice","śląskie","Mateusz.Bochenek@sejm.pl",true
22,"Rafał","Paweł","Bochenek","Rafał Bochenek","PiS",12,"Kraków","małopolskie","Rafal.Bochenek@sejm.pl",true
23,"Izabela","Anna","Bodnar","Izabela Bodnar","niez.",3,"Wrocław","dolnośląskie","Izabela.Bodnar@sejm.pl",true
24,"Jacek",,"Bogucki","Jacek Bogucki","PiS",24,"Białystok","podlaskie","Jacek.Bogucki@sejm.pl",true
25,"Zbigniew",,"Bogucki","Zbigniew Bogucki","PiS",41,"Szczecin","zachodniopomorskie","Zbigniew.Bogucki@sejm.pl",false
26,"Krzysztof",,"Bojarski","Krzysztof Bojarski","KO",6,"Lublin","lubelskie","Krzysztof.Bojarski@sejm.pl",true
27,"Joanna","Beata","Borowiak","Joanna Borowiak","PiS",5,"Toruń","kujawsko-pomorskie","Joanna.Borowiak@sejm.pl",true
28,"Kamil",,"Bortniczuk","Kamil Bortniczuk","PiS",16,"Płock","mazowieckie","Kamil.Bortniczuk@sejm.pl",true
29,"Piotr",,"Borys","Piotr Borys","KO",1,"Legnica","dolnośląskie","Piotr.Borys@sejm.pl",true
30,"Bożena","Teresa","Borys-Szopa","Bożena Borys-Szopa","PiS",29,"Katowice","śląskie","Bozena.Borys-Szopa@sejm.pl",true
31,"Marcin","Rafał","Bosacki","Marcin Bosacki","KO",39,"Poznań","wielkopolskie","Marcin.Bosacki@sejm.pl",true
32,"Karina","Anna","Bosak","Karina Anna Bosak","Konfederacja",20,"Warszawa","mazowieckie","Karina.Bosak@sejm.pl",true
33,"Krzysztof",,"Bosak","Krzysztof Bosak","Konfederacja",24,"Białystok","podlaskie","Krzysztof.Bosak@sejm.pl",true
34,"Grzegorz","Michał","Braun","Grzegorz Braun","Konfederacja",23,"Rzeszów","podkarpackie","Grzegorz.Braun@sejm.pl",false
35,"Krzysztof",,"Brejza","Krzysztof Brejza","KO",4,"Bydgoszcz","kujawsko-pomorskie","Krzysztof.Brejza@sejm.pl",false
36,"Agnieszka","MARIA","Buczyńska","Agnieszka Buczyńska","Polska2050-TD",25,"Gdańsk","pomorskie","Agnieszka.Buczynska@sejm.pl",true
37,"Waldemar","Grzegorz","Buda","Waldemar Buda","PiS",9,"Łódź","łódzkie","Waldemar.Buda@sejm.pl",false
38,"Borys","Piotr","Budka","Borys Budka","KO",31,"Katowice","śląskie","Borys.Budka@sejm.pl",false
39,"Elżbieta","Jolanta","Burkiewicz","Elżbieta Burkiewicz","Polska2050-TD",23,"Rzeszów","podkarpackie","Elzbieta.Burkiewicz@sejm.pl",true
40,"Lidia","Ewa","Burzyńska","Lidia Burzyńska","PiS",28,"Częstochowa","śląskie","Lidia.Burzynska@sejm.pl",true
41,"Marek","Jan","Chmielewski","Marek Jan Chmielewski","KO",2,"Wałbrzych","dolnośląskie","Marek.Chmielewski@sejm.pl",true
42,"Zbigniew","Michał","Chmielowiec","Zbigniew Chmielowiec","PiS",23,"Rzeszów","podkarpackie","Zbigniew.Chmielowiec@sejm.pl",true
43,"Artur","Henryk","Chojecki","Artur Chojecki","PiS",35,"Olsztyn","warmińsko-mazurskie","Artur.Chojecki@sejm.pl",true
44,"Kazimierz","Bogusław","Choma","Kazimierz Bogusław Choma","PiS",6,"Lublin","lubelskie","Kazimierz.Choma@sejm.pl",true
45,"Dominika","Małgorzata","Chorosińska","Dominika Chorosińska","PiS",20,"Warszawa","mazowieckie","Dominika.Chorosinska@sejm.pl",true
46,"Tadeusz",,"Chrzan","Tadeusz Chrzan","PiS",22,"Krosno","podkarpackie","Tadeusz.Chrzan@sejm.pl",true
47,"Alicja","Paulina","Chybicka","Alicja Chybicka","KO",3,"Wrocław","dolnośląskie","Alicja.Chybicka@sejm.pl",true
48,"Anna","Ewa","Cicholska","Anna Ewa Cicholska","PiS",16,"Płock","mazowieckie","Anna.Cicholska@sejm.pl",true
49,"Janusz","Władysław","Cichoń","Janusz Cichoń","KO",35,"Olsztyn","warmińsko-mazurskie","Janusz.Cichon@sejm.pl",true
50,"Krzysztof","Jan","Ciecióra","Krzysztof Ciecióra","PiS",10,"Piotrków Trybunalski","łódzkie","Krzysztof.Cieciora@sejm.pl",true
51,"Janusz","Antoni","Cieszyński","Janusz Cieszyński","PiS",35,"Olsztyn","warmińsko-mazurskie","Janusz.Cieszynski@sejm.pl",true
52,"Michał",,"Cieślak","Michał Cieślak","PiS",33,"Kielce","świętokrzyskie","Michal.Cieslak@sejm.pl",true
53,"Żaneta",,"Cwalina-Śliwowska","Żaneta Cwalina-Śliwowska","Polska2050-TD",18,"Siedlce","mazowieckie","Zaneta.Cwalina-Sliwowska@sejm.pl",true
54,"Krzysztof","Władysław","Czarnecki","Krzysztof Czarnecki","PiS",38,"Piła","wielkopolskie","Krzysztof.Czarnecki@sejm.pl",true
55,"Witold","Wojciech","Czarnecki","Witold Wojciech Czarnecki","PiS",37,"Konin","wielkopolskie","Witold.Czarnecki@sejm.pl",true
56,"Przemysław",,"Czarnek","Przemysław Czarnek","PiS",6,"Lublin","lubelskie","Przemyslaw.Czarnek@sejm.pl",true
57,"Arkadiusz",,"Czartoryski","Arkadiusz Czartoryski","PiS",18,"Siedlce","mazowieckie","Arkadiusz.Czartoryski@sejm.pl",true
58,"Włodzimierz",,"Czarzasty","Włodzimierz Czarzasty","Lewica",32,"Katowice","śląskie","Wlodzimierz.Czarzasty@sejm.pl",true
59,"Jacek","Andrzej","Czerniak","Jacek Czerniak","Lewica",6,"Lublin","lubelskie","Jacek.Czerniak@sejm.pl",true
60,"Zofia",,"Czernow","Zofia Czernow","KO",1,"Legnica","dolnośląskie","Zofia.Czernow@sejm.pl",true
61,"Anita",,"Czerwińska","Anita Czerwińska","PiS",20,"Warszawa","mazowieckie","Anita.Czerwinska@sejm.pl",true
62,"Katarzyna","Beata","Czochara","Katarzyna Czochara","PiS",21,"Opole","opolskie","Katarzyna.Czochara@sejm.pl",true
63,"Sławomir",,"Ćwik","Sławomir Ćwik","Polska2050-TD",7,"Chełm","lubelskie","Slawomir.Cwik@sejm.pl",true
64,"Władysław",,"Dajczak","Władysław Dajczak","PiS",8,"Zielona Góra","lubuskie","Wladyslaw.Dajczak@sejm.pl",true
65,"Anna",,"Dąbrowska-Banaszek","Anna Dąbrowska-Banaszek","PiS",7,"Chełm","lubelskie","Anna.Dabrowska-Banaszek@sejm.pl",true
66,"Zbigniew",,"Dolata","Zbigniew Dolata","PiS",37,"Konin","wielkopolskie","Zbigniew.Dolata@sejm.pl",true
67,"Barbara",,"Dolniak","Barbara Dolniak","KO",32,"Katowice","śląskie","Barbara.Dolniak@sejm.pl",true
68,"Andrzej","Jan","Domański","Andrzej Domański","KO",19,"Warszawa","mazowieckie","Andrzej.Domanski@sejm.pl",true
69,"Bartłomiej",,"Dorywalski","Bartłomiej Dorywalski","PiS",33,"Kielce","świętokrzyskie","Bartlomiej.Dorywalski@sejm.pl",true
70,"Robert",,"Dowhan","Robert Dowhan","KO",8,"Zielona Góra","lubuskie","Robert.Dowhan@sejm.pl",true
71,"Przemysław","Mieczysław","Drabek","Przemysław Drabek","PiS",27,"Bielsko-Biała","śląskie","Przemyslaw.Drabek@sejm.pl",true
72,"Elżbieta",,"Duda","Elżbieta Duda","PiS",13,"Kraków","małopolskie","Elzbieta.Duda@sejm.pl",true
73,"Michał","Paweł","Dworczyk","Michał Paweł Dworczyk","PiS",2,"Wałbrzych","dolnośląskie","Michal.Dworczyk@sejm.pl",false
